exon,intron,onek,c1,c2,c3,site
5208951,2146200,1635429,164088,122743,36286,0
1074029,630336,432368,92634,67510,6017,1
3834612,1710376,1279113,177069,129836,20403,2
1183309,675872,532384,128329,83363,12980,3
2180358,1056401,884147,186949,112860,16455,4
1032685,679973,550442,155236,96589,10394,5
1516100,842841,686164,215150,109553,19078,6
952063,603087,501972,167227,95960,11067,7
1285933,728458,601502,216541,118843,16502,8
885987,576565,474488,222821,117930,20799,9
1174456,711119,595625,278419,120923,15013,10
842947,599894,465963,263116,134750,16444,11
1063853,676486,563416,314176,144743,18757,12
817975,597782,451301,309389,141007,17385,13
1012438,717652,546519,380044,152128,19309,14
803787,625773,468765,385381,145904,19315,15
981636,717784,552093,448605,164704,25440,16
844856,715424,503978,483245,161579,27551,17
1037115,815143,557836,541759,177195,28059,18
915820,827170,524404,625148,188607,41602,19
1098959,927218,608092,780901,216262,60606,20
964846,956992,542647,880916,216312,75666,21
1132883,1046878,614393,1058252,223159,79593,22
966320,981020,573438,1231244,237219,85325,23
1116531,1095307,645629,1533400,249863,95023,24
1004257,1108013,593875,1858110,258907,98924,25
1122860,1217023,683075,2333801,281324,124718,26
1042851,1244932,634498,3088814,282942,126858,27
1175494,1377253,753917,4161957,353679,163480,28
1126820,1452628,750512,6106815,404275,189286,29
1321328,1794025,921765,9648425,535929,276407,30
1296733,2134056,889153,16343759,710520,348811,31
1593037,2859337,1182974,31172163,1065528,577003,32
1647390,4135792,1282759,63783583,1720880,809739,33
2290509,6747712,1811673,113821954,2844260,1295136,34
1521870,3173552,1181280,37921161,1230782,778713,35
1877086,4453588,1527188,73816968,2022084,1180334,36
2218124,7000122,1912954,146221399,3580040,1934597,37
3308550,12104878,2921498,277629707,6437453,2994838,38
2516660,9868503,2209686,279443166,5864052,3268881,39
4502927,19305753,3811978,489482547,10704286,5096971,40
