exon,intron,onek,c1,c2,c3,site
13144872,9810793,3323705,725830,342694,59488,0
2526450,2401152,806252,373798,131712,24635,1
7107698,5917728,1937603,634036,259234,44605,2
2101776,2174999,750449,413643,154891,29952,3
3324639,3265126,1065440,575275,207978,31721,4
1541489,1770896,638208,488584,153007,26647,5
2322171,2476007,824326,573666,193209,33942,6
1269312,1467948,592208,520636,152718,25112,7
1805319,1994041,689956,628109,169698,35343,8
1040522,1268104,519097,565731,150622,40836,9
1495310,1683207,656912,709182,182880,41512,10
943217,1137032,495842,631988,153388,39077,11
1238783,1468524,590341,741650,175409,55627,12
825372,1053517,502437,729233,177408,46899,13
1113224,1319881,600773,819951,185936,48620,14
736162,952442,486935,811325,187952,46198,15
945376,1135612,549341,908696,183172,49494,16
658689,908008,491560,922558,182579,69478,17
839364,1099610,552336,1044964,196046,76371,18
607450,819656,488707,1206804,199772,101819,19
778786,1064683,563141,1474761,227382,206057,20
575583,781233,514820,1694222,214119,289875,21
709084,953702,574582,2142818,241569,364608,22
530403,793003,533840,2611030,235904,389467,23
671925,947226,597763,3383030,263998,337995,24
520892,850989,552855,4404303,268700,410945,25
623361,1029453,659080,5834008,310219,443044,26
504945,897278,600168,7721343,332895,459119,27
645917,1144119,719347,10527691,386367,521784,28
526061,1166087,684821,13944213,445122,497191,29
713352,1433868,792429,18878265,520054,561542,30
623192,1536312,821078,26456025,691881,641412,31
800974,2021437,1010176,39617230,989991,720165,32
798779,2425833,1063577,65091021,1447116,917014,33
1066693,4131513,1542331,117967364,2657398,1285408,34
817397,2928722,1144625,73594770,1660782,959916,35
1133094,4602601,1546117,122021694,2839094,1320763,36
1094110,4672502,1497059,154943340,3392779,1506128,37
1411479,6249988,2012761,207480654,4768321,1844603,38
1288959,6311426,1801603,245161132,5382221,1996882,39
2072764,11572660,3066292,429099795,11010266,3458471,40
