,tracking_id,Syntany,m,sd
1,AC148152.3_FG005,Non-Syntenic,140.2902695,463.7455433
2,AC148152.3_FG008,Non-Syntenic,13.827064,34.5438109
3,AC148167.6_FG001,Syntenic,43.01936328,60.66807322
4,AC149475.2_FG002,Syntenic,9.463355869,20.70609676
5,AC149475.2_FG003,Syntenic,2402.974781,1149.283114
6,AC149475.2_FG005,Syntenic,3.375121052,5.428724635
7,AC149475.2_FG007,Syntenic,350.052294,196.1608991
8,AC149810.2_FG004,NA,298.9475757,646.2618884
9,AC149810.2_FG008,Syntenic,1.309018724,4.087649243
10,AC149818.2_FG001,Syntenic,0.468541056,1.968115563
11,AC149818.2_FG004,Syntenic,1890.93745,1552.214454
12,AC149818.2_FG005,Syntenic,609.8032787,2003.226493
13,AC149818.2_FG006,Syntenic,109.5157963,81.66277003
14,AC149818.2_FG007,Syntenic,2.553103053,5.868348779
15,AC149828.2_FG002,Syntenic,1389.918678,1069.675846
16,AC149829.2_FG002,Syntenic,1.714428928,9.848644381
17,AC149829.2_FG003,Syntenic,188.0824415,167.3102193
18,AC149829.2_FG004,Syntenic,18.24338242,78.02201138
19,AC149829.2_FG006,Syntenic,3.688668273,8.39988085
20,AC152495.1_FG002,Syntenic,0.416112767,2.390385858
21,AC152495.1_FG003,NA,0.425335999,1.384033957
22,AC155352.2_FG001,Non-Syntenic,0.948486134,4.247982867
23,AC155376.2_FG004,Syntenic,0.038074518,0.218721455
24,AC155376.2_FG005,Syntenic,3.776918581,6.606737779
25,AC155377.1_FG001,Syntenic,64.35865303,76.8318475
26,AC155377.1_FG002,Syntenic,53.71522916,39.439874
27,AC155434.2_FG004,Syntenic,124.2047009,99.26991239
28,AC155496.2_FG009,Syntenic,116.9627186,102.1644008
29,AC155610.2_FG007,Syntenic,38.91065551,111.2214299
30,AC155622.2_FG001,Syntenic,835.5784822,506.6582863
31,AC155622.2_FG004,NA,17.01794282,38.20521832
32,AC155624.2_FG011,Syntenic,6.053404615,23.78935966
33,AC159612.1_FG007,Syntenic,96.27485507,114.3626571
34,AC165178.2_FG004,Syntenic,0.199713732,1.147268043
35,AC166636.1_FG007,Syntenic,0.281253097,1.615676034
36,AC166636.1_FG009,Syntenic,0.225524668,1.295540584
37,AC177850.2_FG005,NA,2923.397149,2134.176336
38,AC177897.2_FG002,Syntenic,0.247563308,0.994951841
39,AC177897.2_FG022,Non-Syntenic,34.62641294,146.9472125
40,AC177908.3_FG002,Syntenic,3.133073536,7.020203769
41,AC177936.6_FG008,NA,0.213258442,0.883229766
42,AC182482.3_FG003,Syntenic,0.126688762,0.727771532
43,AC182617.3_FG001,Syntenic,484.7752135,390.3145862
44,AC183315.4_FG006,Syntenic,0.34023453,1.423115545
45,AC183508.3_FG004,Non-Syntenic,1.745120632,10.0249548
46,AC183888.4_FG006,Non-Syntenic,3.893864139,9.662968578
47,AC183932.3_FG007,Syntenic,0.092665487,0.532322696
48,AC183938.4_FG011,Non-Syntenic,0.296389935,1.702630552
49,AC183950.2_FG006,Non-Syntenic,7.72051172,14.22887015
50,AC184130.4_FG005,Syntenic,41.95941604,165.3247524
51,AC184130.4_FG012,Non-Syntenic,1.767229151,5.063391899
52,AC184165.4_FG001,Non-Syntenic,90.51346673,474.741632
53,AC184169.3_FG001,NA,3.647319198,17.15874874
54,AC184840.4_FG010,Non-Syntenic,198.3884455,1139.654854
55,AC185226.4_FG001,Syntenic,206.7969117,185.5342142
56,AC185415.3_FG005,Syntenic,41.10557354,50.94459434
57,AC185464.3_FG003,Non-Syntenic,6.231037094,35.79458294
58,AC185466.3_FG001,Non-Syntenic,5.867900391,14.02874791
59,AC185648.3_FG007,Non-Syntenic,25.25173954,81.91866769
60,AC186147.3_FG008,Syntenic,24.8714933,63.86961979
61,AC186287.7_FG005,Syntenic,12.23720621,70.29739769
