file,mu,nu,s,nes
largedata/lcache/SFS_comet_blocks_CG_len0_typeI_TE.RData,2.0349207767691e-06,1.9838720926132e-07,1.89619323505989e-05,2.84428985258983
largedata/lcache/SFS_comet_blocks_CG._len0_exon.RData,1.58695764326132e-06,1.71277778027281e-06,2.74605118668859e-07,0.0411907678003288
largedata/lcache/SFS_comet_blocks_CG._len0_gene.RData,1.65274097742084e-06,1.64114775509417e-06,1.55309434363039e-06,0.232964151544559
largedata/lcache/SFS_comet_blocks_CG._len0_intron.RData,1.66494804433612e-06,1.3022306696051e-06,3.62895995769722e-06,0.544343993654583
largedata/lcache/SFS_comet_blocks_CG._len0_up1k.RData,1.64012469736654e-06,1.5969950160367e-06,1.91671973039199e-06,0.287507959558798
largedata/lcache/SFS_comet_blocks_CHG_len0_typeI_TE.RData,2.29906716668855e-06,2.57210677032116e-07,1.78017501625339e-05,2.67026252438008
largedata/lcache/SFS_comet_blocks_CHG._len0_exon.RData,1.80361920650111e-06,1.34321318020931e-06,2.41859408327749e-10,3.62789112491623e-05
largedata/lcache/SFS_comet_blocks_CHG._len0_gene.RData,1.57521724224858e-06,1.52443252269122e-06,5.36464354065098e-10,8.04696531097646e-05
largedata/lcache/SFS_comet_blocks_CHG._len0_intron.RData,1.46428722834294e-06,1.39500512442395e-06,4.98118395790463e-07,0.0747177593685695
largedata/lcache/SFS_comet_blocks_CHG._len0_up1k.RData,1.65249320111159e-06,1.39460836381069e-06,1.53017000555768e-06,0.229525500833652
