context,methylated,total,file
CG,87810567,183628802,largedata/wgbs_smoothed/JRA1_pe.stat
CHG,80722000,160557824,largedata/wgbs_smoothed/JRA1_pe.stat
CHH,335376540,623736171,largedata/wgbs_smoothed/JRA1_pe.stat
CG,94925220,183817320,largedata/wgbs_smoothed/JRA2_pe.stat
CHG,86725933,160673230,largedata/wgbs_smoothed/JRA2_pe.stat
CHH,356573721,623660117,largedata/wgbs_smoothed/JRA2_pe.stat
CG,90591969,183629474,largedata/wgbs_smoothed/JRA3_pe.stat
CHG,83286118,160555934,largedata/wgbs_smoothed/JRA3_pe.stat
CHH,343523645,623722969,largedata/wgbs_smoothed/JRA3_pe.stat
CG,92414811,183338942,largedata/wgbs_smoothed/JRB1_pe.stat
CHG,84859161,160391513,largedata/wgbs_smoothed/JRB1_pe.stat
CHH,351662381,623789837,largedata/wgbs_smoothed/JRB1_pe.stat
CG,94635533,183215718,largedata/wgbs_smoothed/JRB2_pe.stat
CHG,86763884,160321562,largedata/wgbs_smoothed/JRB2_pe.stat
CHH,360209244,623833224,largedata/wgbs_smoothed/JRB2_pe.stat
CG,95970443,183391694,largedata/wgbs_smoothed/JRB3_pe.stat
CHG,87876877,160422351,largedata/wgbs_smoothed/JRB3_pe.stat
CHH,362663191,623790270,largedata/wgbs_smoothed/JRB3_pe.stat
CG,92593578,183117624,largedata/wgbs_smoothed/JRC1_pe.stat
CHG,84777082,160274306,largedata/wgbs_smoothed/JRC1_pe.stat
CHH,351664169,623890185,largedata/wgbs_smoothed/JRC1_pe.stat
CG,93436540,183197412,largedata/wgbs_smoothed/JRC2_pe.stat
CHG,85607912,160275978,largedata/wgbs_smoothed/JRC2_pe.stat
CHH,355265656,623834393,largedata/wgbs_smoothed/JRC2_pe.stat
CG,92642783,183272450,largedata/wgbs_smoothed/JRC3_pe.stat
CHG,85252673,160349129,largedata/wgbs_smoothed/JRC3_pe.stat
CHH,352657780,623812060,largedata/wgbs_smoothed/JRC3_pe.stat
CG,97334619,183578642,largedata/wgbs_smoothed/JRD1_pe.stat
CHG,87866822,160498534,largedata/wgbs_smoothed/JRD1_pe.stat
CHH,356794791,623709890,largedata/wgbs_smoothed/JRD1_pe.stat
CG,92850449,183390062,largedata/wgbs_smoothed/JRD2_pe.stat
CHG,85216425,160414363,largedata/wgbs_smoothed/JRD2_pe.stat
CHH,353654338,623794320,largedata/wgbs_smoothed/JRD2_pe.stat
CG,95949463,180912216,largedata/wgbs_smoothed/JRD3_pe.stat
CHG,85995678,158792933,largedata/wgbs_smoothed/JRD3_pe.stat
CHH,346134652,624283191,largedata/wgbs_smoothed/JRD3_pe.stat
CG,92992554,183508354,largedata/wgbs_smoothed/JRE1_pe.stat
CHG,85104571,160483794,largedata/wgbs_smoothed/JRE1_pe.stat
CHH,352217569,623710156,largedata/wgbs_smoothed/JRE1_pe.stat
CG,99908500,183573166,largedata/wgbs_smoothed/JRE2_pe.stat
CHG,91038604,160529327,largedata/wgbs_smoothed/JRE2_pe.stat
CHH,375455413,623712730,largedata/wgbs_smoothed/JRE2_pe.stat
CG,94769239,183711988,largedata/wgbs_smoothed/JRF1_pe.stat
CHG,86727599,160600097,largedata/wgbs_smoothed/JRF1_pe.stat
CHH,359920502,623670198,largedata/wgbs_smoothed/JRF1_pe.stat
CG,97485694,183473914,largedata/wgbs_smoothed/JRF2_pe.stat
CHG,89241656,160495302,largedata/wgbs_smoothed/JRF2_pe.stat
CHH,369734276,623748832,largedata/wgbs_smoothed/JRF2_pe.stat
CG,91863810,183142814,largedata/wgbs_smoothed/JRG1_pe.stat
CHG,84072919,160264441,largedata/wgbs_smoothed/JRG1_pe.stat
CHH,349126271,623827619,largedata/wgbs_smoothed/JRG1_pe.stat
CG,92454556,183013600,largedata/wgbs_smoothed/JRG2_pe.stat
CHG,84610131,160184299,largedata/wgbs_smoothed/JRG2_pe.stat
CHH,346121593,623871824,largedata/wgbs_smoothed/JRG2_pe.stat
CG,93832500,183399276,largedata/wgbs_smoothed/JRH1_pe.stat
CHG,84767955,160399137,largedata/wgbs_smoothed/JRH1_pe.stat
CHH,342901325,623734061,largedata/wgbs_smoothed/JRH1_pe.stat
CG,87027999,183281906,largedata/wgbs_smoothed/JRH2_pe.stat
CHG,80441133,160341415,largedata/wgbs_smoothed/JRH2_pe.stat
CHH,332514044,623802217,largedata/wgbs_smoothed/JRH2_pe.stat
