bioproject_accession	biosample_accession	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly
PRJNA412085	SAMN07694638	JRIAL2A	WGBS of 20 teosintes	WGS	GENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	"We conducted whole genome sequencing (WGS) and whole genome biosulfite sequencing (WGBS) on 20 teosinte lineswith the average coverages of about 30_ and 5_, respectively"	fastq	JRA1_CTTGTA_R1.fastq.gz	JRA1_CTTGTA_R2.fastq.gz			
PRJNA412085	SAMN07694639	JRIAL2B	WGBS of 20 teosintes	WGS	GENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	"We conducted whole genome sequencing (WGS) and whole genome biosulfite sequencing (WGBS) on 20 teosinte lineswith the average coverages of about 30_ and 5_, respectively"	fastq	JRB1_NoIndex_R1.fastq.gz	JRB1_NoIndex_R2.fastq.gz			
PRJNA412085	SAMN07694640	JRIAL2C	WGBS of 20 teosintes	WGS	GENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	"We conducted whole genome sequencing (WGS) and whole genome biosulfite sequencing (WGBS) on 20 teosinte lineswith the average coverages of about 30_ and 5_, respectively"	fastq	JRC1_AGTTCC_R1.fastq.gz	JRC1_AGTTCC_R2.fastq.gz			
PRJNA412085	SAMN07694641	JRIAL2D	WGBS of 20 teosintes	WGS	GENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	"We conducted whole genome sequencing (WGS) and whole genome biosulfite sequencing (WGBS) on 20 teosinte lineswith the average coverages of about 30_ and 5_, respectively"	fastq	JRD1_ATGTCA_R1.fastq.gz	JRD1_ATGTCA_R2.fastq.gz			
PRJNA412085	SAMN07694642	JRIAL2E	WGBS of 20 teosintes	WGS	GENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	"We conducted whole genome sequencing (WGS) and whole genome biosulfite sequencing (WGBS) on 20 teosinte lineswith the average coverages of about 30_ and 5_, respectively"	fastq	JRE1_CCGTCC_R1.fastq.gz	JRE1_CCGTCC_R2.fastq.gz			
PRJNA412085	SAMN07694643	JRIAL2F	WGBS of 20 teosintes	WGS	GENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	"We conducted whole genome sequencing (WGS) and whole genome biosulfite sequencing (WGBS) on 20 teosinte lineswith the average coverages of about 30_ and 5_, respectively"	fastq	JRF1_NoIndex_R1.fastq.gz	JRF1_NoIndex_R2.fastq.gz			
PRJNA412085	SAMN07694644	JRIAL2G	WGBS of 20 teosintes	WGS	GENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	"We conducted whole genome sequencing (WGS) and whole genome biosulfite sequencing (WGBS) on 20 teosinte lineswith the average coverages of about 30_ and 5_, respectively"	fastq	JRG1_GTGAAA_R1.fastq.gz	JRG1_GTGAAA_R2.fastq.gz			
PRJNA412085	SAMN07694645	JRIAL2H	WGBS of 20 teosintes	WGS	GENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	"We conducted whole genome sequencing (WGS) and whole genome biosulfite sequencing (WGBS) on 20 teosinte lineswith the average coverages of about 30_ and 5_, respectively"	fastq	JRH1_CGATGT_R1.fastq.gz	JRH1_CGATGT_R2.fastq.gz			
PRJNA412085	SAMN07694646	JRIAL2I	WGBS of 20 teosintes	WGS	GENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	"We conducted whole genome sequencing (WGS) and whole genome biosulfite sequencing (WGBS) on 20 teosinte lineswith the average coverages of about 30_ and 5_, respectively"	fastq	JRA2_TGACCA_R1.fastq.gz	JRA2_TGACCA_R2.fastq.gz			
PRJNA412085	SAMN07694647	JRIAL2J	WGBS of 20 teosintes	WGS	GENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	"We conducted whole genome sequencing (WGS) and whole genome biosulfite sequencing (WGBS) on 20 teosinte lineswith the average coverages of about 30_ and 5_, respectively"	fastq	JRB2_NoIndex_R1.fastq.gz	JRB2_NoIndex_R2.fastq.gz			
PRJNA412085	SAMN07694648	JRIAL2K	WGBS of 20 teosintes	WGS	GENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	"We conducted whole genome sequencing (WGS) and whole genome biosulfite sequencing (WGBS) on 20 teosinte lineswith the average coverages of about 30_ and 5_, respectively"	fastq	JRC2_GCCAAT_R1.fastq.gz	JRC2_GCCAAT_R2.fastq.gz			
PRJNA412085	SAMN07694649	JRIAL2L	WGBS of 20 teosintes	WGS	GENOMIC	PCR	paired	ILLUMINA	Illumina HiSeq 2500	"We conducted whole genome sequencing (WGS) and whole genome biosulfite sequencing (WGBS) on 20 teosinte lineswith the average coverages of about 30_ and 5_, respectively"	fastq	JRD2_CAGATC_R1.fastq.gz	JRD2_CAGATC_R2.fastq.gz			
