idnum,idchar,name,plate
JRIAL2-1 ,JRIAL2-A,PC_I11_ID2.e6,A1
JRIAL2-2,JRIAL2-B,PC_I50_ID2.e6,B1
JRIAL2-3,JRIAL2-C,PC_I55_ID2.e6,C1
JRIAL2-4,JRIAL2-D,PC_I58_ID2.e6,D1
JRIAL2-5,JRIAL2-E,PC_J07_ID2.e6,E1
JRIAL2-6,JRIAL2-F,PC_J14_ID2.e6,F1
JRIAL2-7,JRIAL2-G,PC_J48_ID2.e6,G1
JRIAL2-8,JRIAL2-H,PC_K55_ID2.e6,H1
JRIAL2-9,JRIAL2-I,PC_L06_ID2.e6,A2
JRIAL2-10,JRIAL2-J,PC_L12_ID2.C,B2
JRIAL2-11,JRIAL2-K,PC_L48_ID2.e6,C2
JRIAL2-12,JRIAL2-L,PC_N03_ID2.e6,D2
JRIAL2-13,JRIAL2-M,PC_N07_ID2.e6,E2
JRIAL2-14,JRIAL2-N,PC_N10_ID2.e6,F2
JRIAL2-15,JRIAL2-O,PC_N14_ID2.e6,G2
JRIAL2-16,JRIAL2-P,PC_N57_ID2.e6,H2
JRIAL2-17,JRIAL2-Q,PC_N58_ID2.e6,A3
JRIAL2-18,JRIAL2-R,PC_O08_ID2.e7,B3
JRIAL2-19,JRIAL2-S,PC_O51_ID2.e6,C3
JRIAL2-20,JRIAL2-T,PC_O59_ID2.e6,D3
