"","id","mu","nu","s","feature","nes","context","q"
"1","CG_exon_0_gbm",1.42042106045247e-06,6.57387695702792e-06,3.46608636362676e-09,"exon",0.000519912954544014,"CG","qgbm"
"2","CG_exon_0_ngbm",1.86937768314818e-06,1.78890937087084e-06,7.81575810344151e-11,"exon",1.17236371551623e-05,"CG","qngbm"
"3","CG_exon_1_gbm",2.23188297493949e-06,5.02281475779817e-06,7.55189126348174e-10,"exon",0.000113278368952226,"CG","qgbm"
"4","CG_exon_1_ngbm",3.37218846096168e-06,2.87866089678632e-06,1.62825185486976e-10,"exon",2.44237778230464e-05,"CG","qngbm"
"5","CG_exon_2_gbm",2.27800278489797e-06,6.5048184196553e-06,7.97519253111866e-10,"exon",0.00011962788796678,"CG","qgbm"
"6","CG_exon_2_ngbm",2.72344090491635e-06,2.56995253850409e-06,1.64279327195185e-10,"exon",2.46418990792777e-05,"CG","qngbm"
"7","CG_exon_3_gbm",1.60337011327495e-06,6.83329689783372e-06,9.42005537053628e-10,"exon",0.000141300830558044,"CG","qgbm"
"8","CG_exon_3_ngbm",1.91636239099245e-06,1.90588971924092e-06,2.82187715708413e-10,"exon",4.23281573562619e-05,"CG","qngbm"
"9","CG_exon_4_gbm",7.96282817116053e-07,6.06325527779887e-06,1.82535177375473e-09,"exon",0.000273802766063209,"CG","qgbm"
"10","CG_exon_4_ngbm",7.89234559881576e-07,8.12105360184823e-07,1.3125834463248e-09,"exon",0.00019688751694872,"CG","qngbm"
"11","CG_gene_0_gbm",1.5092378369278e-06,7.00923712963158e-06,3.33690442443383e-09,"gene",0.000500535663665074,"CG","qgbm"
"12","CG_gene_0_ngbm",1.66409814141105e-06,1.91879838945722e-06,2.51195662968343e-10,"gene",3.76793494452514e-05,"CG","qngbm"
"13","CG_gene_1_gbm",2.36028204805176e-06,5.79292571715737e-06,7.21973724456715e-10,"gene",0.000108296058668507,"CG","qgbm"
"14","CG_gene_1_ngbm",2.77605914872076e-06,2.84706099543004e-06,1.3372125943953e-10,"gene",2.00581889159295e-05,"CG","qngbm"
"15","CG_gene_2_gbm",2.42198388946303e-06,7.38450702379435e-06,8.26742102598331e-10,"gene",0.00012401131538975,"CG","qgbm"
"16","CG_gene_2_ngbm",2.28835030026983e-06,2.59760226609816e-06,1.58145673448264e-10,"gene",2.37218510172396e-05,"CG","qngbm"
"17","CG_gene_3_gbm",1.66695215842517e-06,7.67645344557053e-06,1.05061569906559e-09,"gene",0.000157592354859838,"CG","qgbm"
"18","CG_gene_3_ngbm",1.57351354148834e-06,1.9379155186536e-06,8.97363171114459e-10,"gene",0.000134604475667169,"CG","qngbm"
"19","CG_gene_4_gbm",8.45236751920328e-07,6.83247753200544e-06,2.14680916979729e-09,"gene",0.000322021375469593,"CG","qgbm"
"20","CG_gene_4_ngbm",8.73153394269466e-07,6.44951743262237e-07,1.92237607317691e-06,"gene",0.288356410976536,"CG","qngbm"
"21","CG_intron_0_gbm",1.43296894654789e-06,7.42699564317665e-06,3.7835029090264e-09,"intron",0.00056752543635396,"CG","qgbm"
"22","CG_intron_0_ngbm",1.41176051531394e-06,1.98225300779293e-06,-5.38458415239355e-10,"intron",-8.07687622859033e-05,"CG","qngbm"
"23","CG_intron_1_gbm",1.86384219164274e-06,4.83412972320029e-06,7.73255546731177e-10,"intron",0.000115988332009677,"CG","qgbm"
"24","CG_intron_1_ngbm",2.37818484499584e-06,3.05711107883451e-06,2.92768674808823e-10,"intron",4.39153012213235e-05,"CG","qngbm"
"25","CG_intron_2_gbm",2.17937240339898e-06,6.82497375575647e-06,8.45988418333938e-10,"intron",0.000126898262750091,"CG","qgbm"
"26","CG_intron_2_ngbm",2.08203596515698e-06,2.89082810193203e-06,3.77197837805676e-10,"intron",5.65796756708514e-05,"CG","qngbm"
"27","CG_intron_3_gbm",1.54254811849211e-06,7.37637712672496e-06,9.63582069805949e-10,"intron",0.000144537310470892,"CG","qgbm"
"28","CG_intron_3_ngbm",1.45331230120394e-06,2.17458296650757e-06,1.43542846079772e-09,"intron",0.000215314269119658,"CG","qngbm"
"29","CG_intron_4_gbm",8.40229110497877e-07,6.92256874177606e-06,1.59611195764652e-09,"intron",0.000239416793646978,"CG","qgbm"
"30","CG_intron_4_ngbm",8.89417338006063e-07,6.19846105183099e-07,2.56110354109922e-06,"intron",0.384165531164883,"CG","qngbm"
