"","id","mu","nu","s","feature","nes","context","q"
"1","CG_exon_0_above",1.69556901437764e-06,1.86757831096065e-06,1.5358198920234e-10,"exon",2.3037298380351e-05,"CG","above"
"2","CG_exon_0_below",1.523377549203e-06,1.58644808271066e-06,1.24170100403382e-10,"exon",1.86255150605073e-05,"CG","below"
"3","CG_gene_0_above",1.57890921712597e-06,2.05439216770512e-06,4.14860354565188e-10,"gene",6.22290531847782e-05,"CG","above"
"4","CG_gene_0_below",1.41919862218535e-06,1.73614257639067e-06,1.80844244269715e-10,"gene",2.71266366404572e-05,"CG","below"
"5","CG_intron_0_above",1.38976163627973e-06,2.14718657414552e-06,2.20812333007303e-09,"intron",0.000331218499510955,"CG","above"
"6","CG_intron_0_below",1.17886070931697e-06,1.81885273184202e-06,4.35313249143638e-09,"intron",0.000652969873715457,"CG","below"
"7","CG_up1k_0_above",1.50919043953261e-06,1.9950278310683e-06,7.4035222174218e-10,"up1k",0.000111052833261327,"CG","above"
"8","CG_up1k_0_below",1.40882823339446e-06,1.86522273649156e-06,8.57816929569629e-10,"up1k",0.000128672539435444,"CG","below"
"9","CHG_exon_0_above",2.61212492715967e-06,1.41989174159878e-06,6.56434708051947e-11,"exon",9.8465206207792e-06,"CHG","above"
"10","CHG_exon_0_below",1.59249257340026e-06,1.35310574276804e-06,9.88438865503506e-11,"exon",1.48265829825526e-05,"CHG","below"
"11","CHG_gene_0_above",1.93948186613312e-06,1.5142535579348e-06,5.18356929806106e-11,"gene",7.77535394709159e-06,"CHG","above"
"12","CHG_gene_0_below",1.41739207266988e-06,1.54397795321429e-06,1.72156207708763e-10,"gene",2.58234311563145e-05,"CHG","below"
"13","CHG_intron_0_above",1.74232205169891e-06,1.45126202156652e-06,7.24246957932976e-11,"intron",1.08637043689946e-05,"CHG","above"
"14","CHG_intron_0_below",1.188413049313e-06,1.56891833392553e-06,4.76131308815326e-09,"intron",0.000714196963222989,"CHG","below"
"15","CHG_up1k_0_above",1.54904572864869e-06,1.53300978525233e-06,2.15289696856467e-10,"up1k",3.22934545284701e-05,"CHG","above"
"16","CHG_up1k_0_below",1.45238629651473e-06,1.66994251037514e-06,8.16878410248664e-10,"up1k",0.0001225317615373,"CHG","below"
