"","id","mu","nu","s","feature","nes","context"
"1","CG_0_ClassIRetroelements",2.03404009255542e-06,1.98423972623575e-07,1.89776614332186e-05,"Class I Retroelements",2.84664921498279,"CG"
"2","CG_0_Other",1.4792841984409e-06,6.22814501397421e-07,1.08488026605787e-05,"Other",1.62732039908681,"CG"
"3","CG_1_ClassIRetroelements",3.99609647285107e-06,4.13972621510433e-07,2.14127543111143e-05,"Class I Retroelements",3.21191314666715,"CG"
"4","CG_1_Other",1.86082477400058e-06,4.95955101142584e-06,8.81594361170566e-10,"Other",0.000132239154175585,"CG"
"5","CG_2_ClassIRetroelements",2.8005038486881e-06,3.14714185206479e-07,2.03377384917148e-05,"Class I Retroelements",3.05066077375722,"CG"
"6","CG_2_Other",1.73989672233594e-06,5.63819734557635e-06,8.85568631057197e-10,"Other",0.00013283529465858,"CG"
"7","CG_3_ClassIRetroelements",2.54639787683203e-06,1.09669397208717e-07,2.35756832170707e-05,"Class I Retroelements",3.53635248256061,"CG"
"8","CG_3_Other",1.37859023152884e-06,5.56058350235367e-06,1.31443808016727e-09,"Other",0.00019716571202509,"CG"
"9","CG_4_ClassIRetroelements",1.48765345686715e-06,1.59915011982118e-08,2.20365624905115e-05,"Class I Retroelements",3.30548437357672,"CG"
"10","CG_4_Other",9.38829005749931e-07,2.0006986964906e-07,1.16535278898584e-05,"Other",1.74802918347876,"CG"
"11","CHG_0_ClassIRetroelements",2.29812482270469e-06,2.62436412200854e-07,1.7798746169238e-05,"Class I Retroelements",2.6698119253857,"CHG"
"12","CHG_0_Other",1.81463275768971e-06,1.05258024264551e-06,8.99524653308432e-06,"Other",1.34928697996265,"CHG"
"13","CHG_1_ClassIRetroelements",3.21618954201611e-06,5.70635472008402e-07,1.83389727250232e-05,"Class I Retroelements",2.75084590875348,"CHG"
"14","CHG_1_Other",2.64001655145119e-06,6.65088154855012e-06,6.80754934666163e-10,"Other",0.000102113240199924,"CHG"
"15","CHG_2_ClassIRetroelements",3.14235275880105e-06,3.86975242696723e-07,1.98123573760215e-05,"Class I Retroelements",2.97185360640322,"CHG"
"16","CHG_2_Other",2.59218852773534e-06,5.82028821211093e-06,6.86667845933371e-10,"Other",0.000103000176890006,"CHG"
"17","CHG_3_ClassIRetroelements",2.86526524750351e-06,1.94306758230405e-07,2.21820036923622e-05,"Class I Retroelements",3.32730055385433,"CHG"
"18","CHG_3_Other",1.64063884074945e-06,5.05448342912835e-06,1.07386850406798e-09,"Other",0.000161080275610197,"CHG"
"19","CHG_4_ClassIRetroelements",1.47658567621963e-06,7.09835608336041e-08,1.72581459678199e-05,"Class I Retroelements",2.58872189517299,"CHG"
"20","CHG_4_Other",9.47581583833097e-07,3.93503861049405e-07,8.43135851443818e-06,"Other",1.26470377716573,"CHG"
