seqname,source,feature,start,end,id,length
Pt,ensembl,gene,1674,3308,GRMZM5G836994,1634
Pt,ensembl,gene,3363,5604,GRMZM5G811749,2241
Pt,ensembl,gene,6392,12986,GRMZM5G856777,6594
Pt,ensembl,gene,12720,15097,GRMZM5G813608,2377
Pt,ensembl,gene,21468,24695,GRMZM5G877454,3227
Pt,ensembl,gene,24733,26784,GRMZM5G899366,2051
Pt,ensembl,gene,26983,31566,GRMZM5G892247,4583
Pt,ensembl,gene,31858,32568,GRMZM5G809869,710
Pt,ensembl,gene,32820,34639,GRMZM5G875287,1819
Pt,ensembl,gene,50535,52367,GRMZM5G800980,1832
Pt,ensembl,gene,54176,56114,GRMZM5G808402,1938
Pt,ensembl,gene,56824,58323,GRMZM5G815453,1499
Pt,ensembl,gene,59194,62447,GRMZM5G831540,3253
Pt,ensembl,gene,63867,65748,GRMZM5G801958,1881
Pt,ensembl,gene,66312,70204,GRMZM5G804708,3892
Pt,ensembl,gene,66998,67198,GRMZM5G801074,200
Pt,ensembl,gene,67532,68044,GRMZM5G815606,512
Pt,ensembl,gene,70706,72490,GRMZM5G808939,1784
Pt,ensembl,gene,72774,73328,GRMZM5G831399,554
Pt,ensembl,gene,73842,74543,GRMZM5G800780,701
Pt,ensembl,gene,75428,75952,GRMZM5G884960,524
Pt,ensembl,gene,75623,77189,GRMZM5G879235,1566
Pt,ensembl,gene,77252,77985,GRMZM5G858556,733
Pt,ensembl,gene,78085,78408,GRMZM5G830210,323
Pt,ensembl,gene,78488,78898,GRMZM5G845244,410
Pt,ensembl,gene,79038,79409,GRMZM5G804776,371
Pt,ensembl,gene,79519,79881,GRMZM5G853305,362
Pt,ensembl,gene,81113,82518,GRMZM5G838396,1405
Pt,ensembl,gene,83036,83803,GRMZM5G899836,767
Pt,ensembl,gene,87515,87814,GRMZM5G877173,299
Pt,ensembl,gene,87875,88396,GRMZM5G872747,521
Pt,ensembl,gene,88701,88910,GRMZM5G898442,209
Pt,ensembl,gene,89236,91472,GRMZM5G876106,2236
Pt,ensembl,gene,91653,93101,GRMZM5G844628,1448
