exon,intron,onek,c1,c2,c3,type,tot
989257,496606,373904,47951,34571,8621,low,1950910
967755,2958115,751817,77255681,1715373,933698,high,84582439
2382463,3124771,1536196,37596221,1377813,708574,variable,46726038
